URL,Keyword,Page Numbers,Count,Keyword Found
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_058.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_059.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_060.pdf,AGRICULTURE,[1],2,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_061.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_062.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_063.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_064.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_065.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_066.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_067.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_068.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_069.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_070.pdf,AGRICULTURE,[1],2,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_071.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_072.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_073.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_074.pdf,AGRICULTURE,[1],2,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_075.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_076.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_077.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_078.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_079.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_080.pdf,AGRICULTURE,[1],2,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_081.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_082.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_083.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_084.pdf,AGRICULTURE,[1],2,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_085.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_086.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_087.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_088.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_089.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_090.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_091.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_092.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_093.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_094.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_095.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_096.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_097.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_098.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_099.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR19_100.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/AGR23424567.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEAST001.pdf,AGRICULTURE,[],0,False
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-01.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-02.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-03.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-04.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-05.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-06.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-07.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-08.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-09.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-10.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-100.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-101.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-102.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-103.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-104.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-105.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-106.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-107.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-108.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-109.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-11.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-110.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-111.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-112.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-113.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-114.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-115.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-116.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-117.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-118.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-119.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-12.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-120.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-121.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-122.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-123.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-124.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-125.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-126.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-127.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-128.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-129.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-13.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-130.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-131.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-132.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-133.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-134.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-135.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-136.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-137.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-138.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-139.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-14.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-140.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-141.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-142.pdf,AGRICULTURE,[1],2,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-143.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-144.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-145.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-146.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-147.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-148.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-149.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-15.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-150.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-151.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-152.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-153.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-154.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-155.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-156.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-157.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-158.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-159.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-16.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-160.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-161.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-162.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-163.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-164.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-165.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-166.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-167.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-168.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-169.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-17.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-170.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-171.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-172.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-173.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-174.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-175.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-176.pdf,AGRICULTURE,[1],1,True
http://demo.seqrdoc.com/bestiu/backend/pdf_file/BEST-177.pdf,AGRICULTURE,[1],1,True
